GSE;Skill;Objective;Source
50;Speaking;Can give simple reasons to justify a viewpoint on a familiar topic. ;(P)
53;Writing;Can give someone clear, detailed directions on how to get somewhere in a letter, email, or online posting. ;(P)
47;Speaking;Can give straightforward descriptions on a variety of familiar subjects. ;(Ca)
60;Speaking;Can give the advantages and disadvantages of various options on a topical issue. ;(Ca)
33;Speaking;Can give the order of things using simple language (e.g. ‘first’, ‘second’, ‘third’). ;(P)
41;Speaking;Can give the reasons for a choice, using simple language. ;(P)
16;Speaking;Can give very limited personal information using basic fixed expressions. ;(CJa)
71;Speaking;Can give well-structured, detailed presentations on a wide range of familiar subjects. ;(Ca)
12;Speaking;Can greet people using a few basic fixed expressions. ;(P)
24;Speaking;Can greet people, ask how they are and react to news. ;(Ca)
70;Reading;Can guess the meaning of an unfamiliar word from context in a linguistically complex text. ;(P)
32;Speaking;Can handle common everyday transactions (e.g. ‘buying a ticket’). ;(Ca)
23;Listening;Can identify a caller’s name and phone number from a short, simple telephone conversation. ;(P)
26;Listening;Can identify a caller’s name and phone number from a short, simple telephone conversation. ;(P)
43;Listening;Can identify a simple chronological sequence in a recorded narrative or dialogue. ;(P)
37;Listening;Can identify activities occurring in the past in short, simple dialogues. ;(P)
35;Reading;Can identify basic biographical information in short simple texts about other people. ;(P)
32;Listening;Can identify basic factual information in short, simple dialogues or narratives on familiar everyday topics, if spoken slowly and clearly. ;(P)
32;Reading;Can identify basic personal details about someone on website profiles, business cards etc. ;(P)
38;Reading;Can identify basic similarities and differences in the facts between two short simple texts on the same familiar topic, if supported by pictures and questions. ;(P)
28;Listening;Can identify common objects from spoken descriptions, if spoken slowly and clearly. ;(P)
67;Reading;Can identify different styles, genres, and registers in written discourse. ;(Wa)
78;Reading;Can identify examples that support a particular interpretation of a linguistically complex text. ;(P)
26;Listening;Can identify how much something costs in short, simple dialogues about the price, if delivered slowly and clearly. ;(P)
79;Reading;Can identify inferred meaning in a linguistically complex text. ;(P)
39;Listening;Can identify key details in a simple recorded dialogue or narrative. ;(P)
33;Listening;Can identify key information (e.g. ‘places’, ‘times’) from short audio recordings, if spoken slowly and clearly. ;(P)
69;Reading;Can identify key information in a linguistically complex text. ;(P)
57;Reading;Can identify key information in an extended text or article. ;(P)
71;Listening;Can identify key information in linguistically complex conversations at natural speed. ;(P)
35;Reading;Can identify key information in short, simple factual texts from the headings and pictures. ;(P) 
45;Reading;Can identify key subject vocabulary in written descriptions. ;(Wa)
31;Listening;Can identify key words and phrases in descriptions of someone’s appearance and clothes. ;(P)
60;Reading;Can identify language used to persuade the reader. ;(Wa)
29;Listening;Can identify objects, places or people from short spoken descriptions. ;(Wa)
44;Reading;Can identify similarities and differences between two short texts. ;(P)
30;Listening;Can identify simple information in a short video, provided that the visual supports this information and the delivery is slow and clear. ;(P)
38;Listening;Can identify specific events from short spoken descriptions. ;(Wa)
73;Reading;Can identify specific information in a linguistically complex factual text. ;(P)
39;Reading;Can identify specific information in a simple factual text. ;(P)
35;Listening;Can identify specific information in short, simple dialogues in which speakers make arrangements to do something, if spoken slowly and clearly. ;(P)
37;Reading;Can identify specific information in simple letters, brochures and short articles. ;(Ca)
59;Reading;Can identify the main conclusions in a text that presents and contrasts arguments in a clearly signalled way. ;(Ca)
49;Listening;Can identify the main point of TV news items reporting events, accidents, etc. where the visual supports the commentary. ;(C)
59;Listening;Can identify the main reasons for and against an argument or idea in a discussion delivered in clear standard speech. ;(P)
49;Reading;Can identify the main topic and related ideas in a structured text. ;(P)
14;Reading;Can identify very common food and drink on a menu. ;(P)
25;Speaking;Can indicate time by such phrases as ‘next week’, ‘last Friday’, ‘in November’, ‘three o’clock’. ;(C)
71;Listening;Can infer attitude and mood in discussions by using contextual, grammatical and lexical cues. ;(Ca) 
55;Reading;Can infer meaning based on information in a text. ;(P)
81;Listening;Can infer meaning, opinion, attitude, etc. in fast-paced conversations between fluent speakers. ;(P)
51;Listening;Can infer speakers’ opinions in conversations on familiar everyday topics. ;(P)
68;Reading;Can infer what will come next in an unstructured text by using contextual, grammatical and lexical cues. ;(P)
30;Speaking;Can initiate and respond to simple statements on very familiar topics. ;(Ca)
46;Speaking;Can initiate, maintain and close simple, face-to-face conversations on familiar topics. ;(Ca)
39;Speaking;Can initiate, maintain and close simple, restricted face-to-face conversations. ;(N2000)
68;Speaking;Can initiate, maintain and end discourse naturally with effective turn-taking. ;(Ca) 
62;Reading;Can interpret the main message from complex diagrams and visual information. ;(P)
48;Speaking;Can introduce a conversation topic with the present perfect and provide details in the past. ;(P)
56;Writing;Can introduce a counter-argument in a simple discursive text using ‘however’. ;(P)
63;Speaking;Can introduce a new perspective on the topic of a discussion. ;(Wa)
63;Speaking;Can introduce a new topic during a formal discussion. ;(P)
66;Speaking;Can introduce new information during a formal discussion or presentation ;(P)
27;Speaking;Can introduce people using basic language. ;(P)
26;Speaking;Can introduce someone in a basic way, giving their name and job title. ;(P)
22;Speaking;Can introduce themselves in a basic way, giving some information about where they live, their family etc. ;(CSEa)
33;Speaking;Can introduce themselves on the phone and close a simple call. ;(P)
12;Speaking;Can introduce themselves using a basic phrase (e.g. ‘My name’s ...’). ;(P)
26;Speaking;Can introduce themselves, their hobbies and interests in a basic way. ;(CJa)
46;Speaking;Can invite others to give their views on what to do next. ;(C)
81;Speaking;Can join a conversation already in progress between fluent speakers on complex topics. ;(Ca) 
77;Speaking;Can justify a point of view using linguistically complex language. ;(P)
60;Speaking;Can justify a viewpoint on a topical issue by discussing pros and cons of various options. ;(Ca)
60;Speaking;Can justify and sustain views clearly by providing relevant explanations and arguments. ;(Ca)
62;Speaking;Can justify the reasons for a particular decision or course of action. ;(P)
70;Speaking;Can lead a discussion in an interview, expanding and developing ideas with little help from the interviewer.;x
54;Speaking;Can leave phone messages containing detailed information. ;(P)
36;Speaking;Can leave simple phone messages using fixed expressions. ;(P)
43;Listening;Can listen to a short narrative and predict what will happen next. ;(N2000)
74;Speaking;Can make a clear strong argument during a formal discussion. ;(Ca)
43;Speaking;Can make a complaint using simple language. ;(P)
51;Speaking;Can make a complaint. ;(C)
26;Speaking;Can make a few basic requests related to immediate personal needs (e.g. ‘Can I have a pen, please?’). ;(P)
62;Speaking;Can make a formal apology with detailed excuses or reasons. ;(P)
38;Speaking;Can make a hotel, restaurant, or transportation reservation on the phone. ;(P)
62;Speaking;Can make a note of favourite mistakes and consciously monitor speech for them. ;(C)
40;Speaking;Can make a short rehearsed announcement on a familiar topic. ;(Ca)
73;Speaking;Can make a verbal summary to confirm their understanding of a linguistically complex discourse. ;(P)
45;Speaking;Can make an apology with brief excuses or reasons. ;(P)
42;Speaking;Can make an appointment on the phone. ;(P)
28;Speaking;Can make an introduction and use basic greeting and leave-taking expressions. ;(C)
37;Speaking;Can make an invitation including information about the time and location. ;(P)
48;Speaking;Can make an invitation using formal language. ;(P)
31;Speaking;Can make and accept a simple apology. ;(P)
36;Speaking;Can make and accept offers. ;(N2000)
41;Speaking;Can make and respond to suggestions. ;(C)
38;Reading;Can make basic inferences from simple information in a short text. ;(P)
38;Listening;Can make basic inferences in simple conversations on familiar everyday topics. ;(P)
43;Reading;Can make basic inferences or predictions about text content from headings, titles or headlines. ;(P) 
42;Writing;Can make basic informal suggestions in writing. ;(P)
66;Writing;Can make detailed notes of the key action points from feedback. ;(P)
54;Speaking;Can make excuses using a range of polite forms. ;(P)
33;Speaking;Can make excuses using basic fixed expressions. ;(P)
63;Reading;Can make inferences about the attitudes and feelings of characters based on evidence in the text. ;(P) 
60;Reading;Can make inferences or predictions about the content of newspaper and magazine articles from headings, titles or headlines. ;(P)
76;Writing;Can make jokes in writing using words with similar spelling but different meanings. ;(P)
32;Speaking;Can make offers using basic fixed expressions. ;(P)
30;Speaking;Can make requests related to immediate needs using basic fixed expressions. ;(P)
36;Writing;Can make simple comparisons between people, places or things. ;(P)
42;Speaking;Can make simple future arrangements and plans with reference to a diary or schedule. ;(P)
51;Reading;Can make simple inferences based on information given in a short article. ;(P)
31;Speaking;Can make simple invitations using basic fixed expressions. ;(P)
42;Speaking;Can make simple predictions about the future. ;(P)
11;Speaking;Can make simple purchases by pointing or other gestures. ;(N2000a)
31;Speaking;Can make simple purchases by stating what is wanted and asking for the price. ;(C)
45;Speaking;Can make simple recommendations for a course of action in familiar everyday situations. ;(P)
33;Speaking;Can make simple references to the past using ‘was/were’. ;(P)
35;Speaking;Can make simple requests to have or do something in relation to common everyday activities. ;(P)
33;Speaking;Can make simple transactions in shops, post offices and banks. ;(Ca)
37;Speaking;Can make simple, direct comparisons between two people or things using common adjectives. ;(P)
45;Writing;Can make simple, logical paragraph breaks in a longer text. ;(P)
36;Speaking;Can make small talk using simple language, given a model. ;(P)
64;Speaking;Can make spontaneous announcements clearly and fluently. ;(Ca)
39;Speaking;Can make suggestions about doing common everyday activities, using simple fixed expressions. ;(P)
65;Speaking;Can manage discussion on familiar topics confirming comprehension, inviting others in, etc. ;(Ca)
75;Speaking;Can manage discussions to ensure that they are based on facts and evidence rather than speculation. ;(P)
81;Speaking;Can manage the participants in a fast-moving discussion to keep it on course. ;(P)
16;Speaking;Can name a few common jobs. ;(P)
12;Speaking;Can name a few very common everyday objects. ;(P)
17;Speaking;Can name very common forms of transport. ;(P)
67;Speaking;Can narrate a story in detail, giving relevant information about feelings and reactions. ;(P)
45;Speaking;Can narrate a story. ;(C)
73;Speaking;Can negotiate a solution to a dispute (e.g. ‘an undeserved traffic ticket’, ‘blame for an accident’). ;(Ca)
71;Speaking;Can negotiate different cultural perspectives in a discussion. ;(Wa)
50;Speaking;Can negotiate prices and ask for discounts. ;(P)
69;Writing;Can organise complex written material into numbered sections and sub-sections. ;(P)
66;Speaking;Can outline an issue or problem clearly. ;(Ca)
43;Speaking;Can paraphrase a simple factual statement related to a familiar topic. ;(P)
69;Speaking;Can paraphrase an idea using a range of linguistic devices. ;(P)
60;Speaking;Can paraphrase in simpler terms what someone else has said. ;(P)
80;Speaking;Can participate in a fast-paced conversation with fluent speakers. ;(Ca)
80;Speaking;Can participate in discussions using linguistically complex language to compare, contrast and summarise information. ;(P)
79;Speaking;Can participate in linguistically complex discussions about attitudes and opinions. ;(P)
41;Speaking;Can participate in short conversations in routine contexts on topics of interest. ;(C)
60;Speaking;Can pass on a detailed piece of information reliably. ;(Ca)
64;Speaking;Can plan what is to be said and the means to say it, considering the effect on the recipient. ;(Ca)
69;Speaking;Can politely avoid answering a question without making it obvious to the listener. ;(N2007a)
70;Speaking;Can politely bring a discussion back to the main point when the participants have gone off topic. ;(P)
55;Speaking;Can politely interrupt during a formal conversation, using fixed expressions ;(P)
55;Writing;Can post comments on the discussion board of a website. ;(P)
69;Speaking;Can precisely express the potential consequences of actions or events. ;(P)
79;Writing;Can precisely select vocabulary for rhetorical purposes. ;(Wa)
75;Writing;Can prepare questions for a quiz using linguistically complex language. ;(P)
62;Writing;Can present additional ideas using a range of linking words and phrases. ;(P)
69;Speaking;Can present factual information in an objective way in extended spoken discourse. ;(Wa)
71;Writing;Can present factual information in an objective way in extended written discourse. ;(Wa)
70;Speaking;Can present their ideas with precision and respond to complex lines of argument convincingly. ;(Ca)
73;Speaking;Can put forward a smoothly flowing and logical structured argument, highlighting significant points. ;(P)
69;Reading;Can quickly scan long, complex texts for key information. ;(P)
44;Speaking;Can react appropriately to good and bad news using fixed expressions. ;(P)
35;Reading;Can read a simple text and extract factual details. ;(P)
26;Speaking;Can read aloud short, familiar fixed expressions in a way that can be understood. ;(P)
12;Reading;Can read and understand simple prices ;(P)
38;Speaking;Can read out a short, rehearsed statement (e.g. ‘introduce a speaker’, ‘propose a toast’). ;(Ca)
13;Speaking;Can read out phone numbers. ;(P)
57;Speaking;Can reasonably fluently relate a straightforward narrative or description as a linear sequence of points.;x
10;Listening;Can recognise a few familiar everyday words, if delivered slowly and clearly. ;(CJa)
28;Listening;Can recognise a few key words or phrases in a simple presentation. ;(P)
81;Listening;Can recognise a speaker’s feelings or attitude in linguistically complex speech. ;(P)
50;Listening;Can recognise a speaker’s feelings or attitudes. ;(P)
83;Listening;Can recognise a wide range of idiomatic expressions and colloquialisms, appreciating register shifts. ;(N2000)
12;Speaking;Can recognise and say the name of their own country, nationality and language. ;(P)
25;Listening;Can recognise basic factual information about times and dates. ;(P)
19;Listening;Can recognise basic time words (e.g. ‘days’, ‘months’) in simple phrases or sentences. ;(P) 
22;Reading;Can recognise cardinal numbers from 11-100. ;(P)
10;Reading;Can recognise cardinal numbers up to 10. ;(P)
77;Listening;Can recognise coherence devices and follow complex arguments on unfamiliar topics. ;(P)
68;Reading;Can recognise contrasting arguments in structured, discursive text. ;(P)
54;Reading;Can recognise examples and their relation to the idea they support. ;(P)
55;Listening;Can recognise examples and their relation to the idea they support. ;(P)
27;Listening;Can recognise familiar key words and phrases in short, basic descriptions (e.g. of ‘objects’, ‘places’ or ‘people’), if spoken slowly and clearly. ;(P)
15;Reading;Can recognise familiar names, words and very basic phrases on simple notices. ;(Ca)
19;Listening;Can recognise familiar words in short phrases and sentences spoken slowly and clearly, if supported by pictures. ;(P)
26;Listening;Can recognise key information (e.g. ‘place’, ‘time’) about everyday events, if spoken slowly and clearly. ;(P)
58;Listening;Can recognise misunderstandings without explicit prompting. ;(P)
30;Listening;Can recognise phrases and content words related to basic personal and family information. ;(Ca)
31;Listening;Can recognise phrases and content words related to familiar topics (e.g. ‘shopping’, ‘local geography’).;x
71;Listening;Can recognise repetition of ideas through substitution, paraphrasing, etc. in complex arguments. ;(P)
53;Listening;Can recognise repetition of the same topic in extended presentations or lectures. ;(Wa)
46;Listening;Can recognise simple expressions of agreement and disagreement in extended discussions, if conducted in clear standard speech. ;(P)
37;Listening;Can recognise simple expressions of agreement and disagreement in short discussions, if conducted slowly and clearly. ;(P)
13;Listening;Can recognise simple formal greetings. ;(P)
10;Listening;Can recognise simple informal greetings. ;(P)
34;Listening;Can recognise simple, fixed expressions used in small talk. ;(P)
37;Listening;Can recognise some fixed expressions to check or clarify information. ;(P)
35;Listening;Can recognise some fixed expressions used to confirm information. ;(P)
52;Listening;Can recognise that a joke has been made, even if the meaning is not fully understood. ;(P) 
60;Listening;Can recognise that a speaker is expressing concerns in a formal discussion. ;(P)
62;Reading;Can recognise the author’s use of irony in a simple text, if guided by questions. ;(P)
73;Reading;Can recognise the author’s use of irony in a text. ;(P)
51;Reading;Can recognise the direct repetition of ideas as a simple cohesive device. ;(P)
57;Reading;Can recognise the general line of a written argument though not necessarily all the details. ;(Ca)
74;Listening;Can recognise the language and strategies used when a speaker is avoiding answering a question. ;(P) 
10;Reading;Can recognise the letters of the alphabet. ;(P)
11;Listening;Can recognise the letters of the English alphabet when pronounced. ;(CJa)
67;Reading;Can recognise the repetition of ideas expressed by substitution, paraphrasing, etc. ;(P)
63;Listening;Can recognise the speaker’s point of view in a structured presentation. ;(P)
66;Listening;Can recognise the tone and intended audience of a formal presentation. ;(P)
65;Reading;Can recognise the tone and intended audience of a structured text. ;(P)
62;Reading;Can recognise the use of cohesive devices to link ideas within and between paragraphs in a written text.;x
64;Listening;Can recognise the use of hyperbole (e.g. ‘It’s going to take me years to finish this’). ;(P)
71;Listening;Can recognise the use of rhetorical questions to reveal unstated assumptions. ;(P)
58;Reading;Can recognise the writer’s point of view in a structured text. ;(P)
44;Listening;Can recognise when a speaker is checking that the listener has understood something in a conversation conducted slowly and clearly. ;(P)
57;Listening;Can recognise when a speaker uses basic rhetorical questions in conversation. ;(P)
61;Listening;Can recognise when examples are being given in a structured presentation on an unfamiliar topic. ;(P)
36;Listening;Can recognise when speakers agree in a conversation conducted slowly and clearly. ;(P)
36;Listening;Can recognise when speakers disagree in a conversation conducted slowly and clearly. ;(P)
26;Listening;Can recognise words and simple phrases related to familiar topics, if spoken slowly and clearly and supported by pictures. ;(P)
62;Speaking;Can recommend a course of action, giving reasons. ;(P)
61;Writing;Can reformulate an idea in different words to emphasise or explain a point. ;(P)
80;Speaking;Can reformulate what they want to say during a conversation or discussion using linguistically complex language. ;(N2000a)
35;Speaking;Can refuse requests politely, using simple language. ;(P)
14;Reading;Can regognise basic plurarl forms of nouns (eg.g 'cars','books') ;(P)
59;Listening;Can relate information in a presentation to the same information given in graphs, charts and tables. ;(Wa)
54;Speaking;Can relate the basic details of unpredictable occurrences (e.g. ‘an accident’). ;(Ca)
50;Speaking;Can relate the plot of a book or film and describe their reactions. ;(C)
73;Speaking;Can relate their own contribution skilfully to those of other speakers. ;(C)
52;Speaking;Can repeat back what is said to confirm understanding and keep a discussion on course. ;(Ca)
77;Speaking;Can rephrase controversial statements into more neutral language. ;(P)
55;Speaking;Can report factual information given by other people. ;(P)
51;Speaking;Can report the opinions of others, using simple language. ;(P)
58;Speaking;Can report the opinions of others. ;(P)
70;Writing;Can represent contrasting points of view in a coherent, well structured text. ;(Wa)
49;Speaking;Can respond in a simple way to verbal challenge or aggression. ;(P)
68;Writing;Can respond in writing to other people’s arguments in an appropriate style. ;(N2007a)
29;Speaking;Can respond politely when introduced to someone, using a few basic fixed expressions. ;(P)
45;Speaking;Can respond to an offer or suggestion, expressing enthusiasm. ;(P)
54;Writing;Can respond to and comment on other people’s personal updates on a social media website. ;(P)
61;Speaking;Can respond to clearly expressed questions on a presentation they have given. ;(Ca)
57;Speaking;Can respond to excuses using a range of polite forms. ;(P)
40;Speaking;Can respond to excuses using basic fixed expressions. ;(P)
55;Speaking;Can respond to ideas and suggestions in informal discussions. ;(Ca)
51;Speaking;Can respond to opinions expressed by others. ;(Wa)
34;Speaking;Can respond to suggestions to do something using basic fixed expressions. ;(P)
53;Speaking;Can re-tell a familiar story using their own words. ;(P)
42;Writing;Can rewrite a simple text to correct mistakes. ;(P)
20;Speaking;Can say a range of basic numbers, quantities and prices. ;(Ca)
26;Speaking;Can say how much something costs using basic language. ;(P)
34;Speaking;Can say how often they and others do common everyday activities, using basic frequency expressions (e.g. ‘every Monday’, ‘twice a month’). ;(P)
40;Speaking;Can say how they or someone else feels, giving brief reasons. ;(P)
15;Speaking;Can say other people’s nationalities. ;(P)
11;Speaking;Can say the letters of the alphabet. ;(P)
10;Speaking;Can say their name. ;(P)
18;Speaking;Can say their own age and ask someone about their age. ;(P)
27;Speaking;Can say what someone’s job is, using familiar common job names. ;(P)
19;Speaking;Can say what they do (e.g. ‘name of their job’, ‘student’). ;(P)
34;Speaking;Can say what they like and dislike. ;(C)
22;Speaking;Can say where they and other people are in a limited way. ;(P)
29;Speaking;Can say who something belongs to. ;(P)
63;Reading;Can scan a long text or a set of related texts in order to find specific information. ;(Ca)
40;Reading;Can scan a simple text, identifying the main topic(s). ;(P)
44;Reading;Can scan short texts to locate specific information. ;(P)
44;Reading;Can search the internet for specific everyday or work-related information. ;(P)
68;Writing;Can seek confirmation of information and ideas on abstract and concrete topics. ;(Ca)
72;Speaking;Can shift between formal and informal registers as and when required. ;(P)
46;Writing;Can show a basic direct relationship between a simple problem and a solution. ;(P)
55;Writing;Can show a simple relationship between a main point and an example in a structured text. ;(P)
61;Speaking;Can show degrees of agreement using a range of language. ;(P)
60;Speaking;Can show interest and appreciation in conversation using a range of expressions. ;(P)
41;Speaking;Can show interest in conversation using fixed expressions. ;(P)
66;Writing;Can show the relationship between an opinion and a counter-argument in a discursive text. ;(P)
34;Speaking;Can show understanding using a limited range of fixed expressions. ;(P)
62;Writing;Can signal additional information in a formal structured text with a range of language. ;(P)
39;Writing;Can signal contrast in a simple text with a limited range of language. ;(P)
53;Speaking;Can signal that they wish to bring a conversation to an end. ;(P)
45;Reading;Can skim a short text to identify its main purpose. ;(P)
82;Writing;Can smoothly switch between a range of writing styles to address specific audiences and topics in a personal way. ;(P)
52;Speaking;Can speak in general terms about environmental problems. ;(P)
66;Speaking;Can speculate about a future event using a range of linguistic devices. ;(P)
64;Speaking;Can speculate about causes, consequences or hypothetical situations. ;(N2000)
67;Speaking;Can speculate about the causes of an issue or problem. ;(Ca)
28;Writing;Can spell a range of common greetings. ;(P)
28;Writing;Can spell a range of common jobs. ;(P)
27;Writing;Can spell a range of common names. ;(P)
14;Speaking;Can spell out their own name and address. ;(P)
32;Speaking;Can start or end a short conversation using basic fixed expressions. ;(Ca)
70;Speaking;Can state clearly the limits to a concession. ;(N2000)
74;Writing;Can structure longer complex texts using a range of cohesive devices. ;(P)
65;Writing;Can structure longer texts in clear, logical paragraphs. ;(P)
76;Speaking;Can substitute an equivalent term for a word they can’t recall so smoothly that it isn’t noticeable. ;(N2000a)
60;Speaking;Can suggest solutions to problems and explain why they would work. ;(P)
66;Speaking;Can summarise a wide range of texts, discussing contrasting points and main themes. ;(Ca)
56;Speaking;Can summarise and comment on a short story or article and answer questions in detail. ;(Ca)
80;Speaking;Can summarise and comment on the content of a linguistically complex text. ;(P) 
56;Speaking;Can summarise and give opinions on issues and stories and answer questions in detail. ;(Ca)
78;Speaking;Can summarise clearly and precisely the arguments and event descriptions from a complex text. ;(N2007a)
57;Writing;Can summarise factual information within their field of interest. ;(Ca)
83;Speaking;Can summarise group discussions on a wide range of linguistically complex topics. ;(P)
64;Writing;Can summarise in writing different points of view. ;(Wa)
85;Writing;Can summarise in writing the author’s viewpoints, attitudes or opinions in a linguistically complex text. ;(P)
70;Writing;Can summarise opposing arguments in writing, including supporting evidence. ;(Wa)
64;Speaking;Can summarise orally the plot and sequence of events in an extract from a film or play. ;(Ca)
44;Speaking;Can summarise short written passages using the original wording and ordering. ;(Ca)
52;Writing;Can summarise the main message from simple diagrams (e.g. ‘graphs’, ‘bar charts’). ;(P)
66;Reading;Can summarise, comment on and discuss a wide range of factual and imaginative texts. ;(Ca)
59;Writing;Can support ideas with relevant examples. ;(P)
67;Writing;Can synthesise and evaluate familiar information and arguments from a number of sources. ;(Ca) 
69;Reading;Can synthesise information from different sources in order to give a written or oral summary. ;(P)
67;Writing;Can systematically develop an argument giving the reasons for or against a point of view. ;(P)
65;Writing;Can systematically evaluate the advantages and disadvantages of various options. ;(P)
39;Writing;Can take a short, simple message if they are able to ask the speaker to repeat and reformulate it. ;(Ca) 
80;Writing;Can take effective notes while listening to a linguistically complex audio recording. ;(P)
53;Writing;Can take messages, communicate enquiries and explain problems. ;(Ca)
55;Writing;Can take notes of key points during a talk on a familiar topic, if delivered clearly. ;(Ca)
59;Writing;Can take notes to record the main points raised during meetings on familiar topics. ;(CSEa)
82;Writing;Can take notes to summarise the key points made during a technical or linguistically complex discussion.;(P)
34;Speaking;Can take part in a very simple conversation on a familiar topic if the other speaker repeats questions and answers as necessary and speaks slowly and clearly. ;(P)
87;Speaking;Can take part in discussions on political or social issues using linguistically complex language. ;(P)
60;Speaking;Can take part in routine formal discussions conducted in clear standard speech in which factual information is exchanged. ;(Ca)
38;Speaking;Can take simple phone messages using fixed expressions. ;(P)
50;Speaking;Can take some initiative in an interview, but is generally very dependent on interviewer. ;(Ca)
38;Speaking;Can talk about an event in the past using fixed expressions, given a model. ;(P)
86;Speaking;Can talk about an industry using technical terms and linguistically complex language. ;(P)
84;Speaking;Can talk about complex financial problems in detail. ;(P)
31;Speaking;Can talk about everyday things (e.g. ‘people’, ‘places’, ‘job’, ‘study’) in a basic way. ;(Ca)
30;Speaking;Can talk about familiar topics using a few basic words and phrases. ;(P)
65;Speaking;Can talk about financial problems. ;(P)
31;Speaking;Can talk about furniture and rooms using simple language. ;(P)
30;Speaking;Can talk about hotel accommodation using simple language. ;(P)
70;Speaking;Can talk about hypothetical events and actions, and their possible consequences. ;(P)
40;Speaking;Can talk about past events or experiences, using simple language ;(P)
72;Speaking;Can talk about personal experiences in detail using linguistically complex language. ;(P)
41;Speaking;Can talk about personal possessions, including household pets. ;(N2000a)
39;Speaking;Can talk about plans for the near future in a simple way. ;(P)
60;Speaking;Can talk about possibilities in the past with precision. ;(P)
29;Speaking;Can talk about the family in a basic way, given prompts. ;(P)
33;Speaking;Can talk about their life (e.g. ‘family’, ‘home’, ‘job’), using simple language. ;(P)
69;Speaking;Can talk about trends in detail. ;(P)
73;Speaking;Can talk in detail about choices that have been significant or life changing using linguistically complex language. ;(P)
81;Speaking;Can tell a detailed anecdote using linguistically complex language. ;(P)
59;Speaking;Can tell a short story about something funny or interesting that has happened, including detail to maintain the listener’s interest. ;(P)
40;Speaking;Can tell a story or describe something in a simple list of points. ;(C)
58;Speaking;Can tell someone about a discussion or conversation in some detail. ;(P)
16;Speaking;Can tell the time of day in full hours. ;(P)
24;Speaking;Can tell the time of day to the quarter hour. ;(P)
22;Speaking;Can tell the time of day to within five minutes. ;(P)
58;Listening;Can understand a large part of many TV programmes on familiar topics. ;(Ca)
27;Listening;Can understand a phone number from a recorded message. ;(P)
54;Listening;Can understand a range of formal and informal excuses. ;(P)
42;Reading;Can understand a simple form asking for medical information ;(P)
39;Reading;Can understand a simple text about a past event. ;(P)
55;Listening;Can understand advice and instructions for resolving a problem with a product or piece of equipment. ;(P)
69;Reading;Can understand advice given in a linguistically complex text. ;(P)
29;Reading;Can understand basic factual statements relating to pictures or simple texts. ;(P)
26;Listening;Can understand basic factual statements. ;(P)
27;Listening;Can understand basic information about free time activities. ;(P)
27;Listening;Can understand basic information about prices, times, and dates in familiar contexts, if spoken slowly and clearly. ;(P)
28;Listening;Can understand basic information about someone when introduced to them using simple language. ;(P)
25;Listening;Can understand basic information about someone’s likes and dislikes. ;(P)
39;Listening;Can understand basic information in a short presentation. ;(P)
42;Listening;Can understand basic medical advice. ;(P)
38;Reading;Can understand basic opinions expressed in simple language in short texts. ;(P)
21;Listening;Can understand basic personal details if given carefully and slowly. ;(P)
27;Reading;Can understand basic phrases in short, simple texts. ;(P)
27;Listening;Can understand basic questions about free time activities. ;(P)
24;Listening;Can understand basic questions about objects in pictures or in their immediate surroundings. ;(P)
24;Listening;Can understand basic questions about people’s likes and dislikes. ;(P)
21;Listening;Can understand basic questions about personal details if addressed slowly and clearly. ;(P)
23;Reading;Can understand basic sentences describing everyday objects (e.g. ‘colour’, ‘size’), given visual support. ;(P)
18;Reading;Can understand basic sentences introducing someone (e.g. ‘name’, ‘age’). ;(P)
24;Listening;Can understand basic statements about where things or people are, if spoken slowly and clearly and supported by pictures. ;(P)
46;Reading;Can understand basic types of standard letters and emails on familiar topics (e.g. ‘enquiries’, ‘complaints’). ;(Ca)
10;Listening;Can understand cardinal numbers from 1 to 20. ;(P)
25;Listening;Can understand cardinal numbers from 101 to 1000. ;(P)
19;Listening;Can understand cardinal numbers from 21 to 100. ;(P)
57;Reading;Can understand cause and effect relationships in a structured text. ;(P)
65;Listening;Can understand cause and effect relationships in informal conversation at natural speed. ;(P)
46;Reding;Can understand clearly written, straightforward instructions on how to use a piece of equipment. ;(Ca)
79;Reading;Can understand complex arguments in newspaper articles. ;(P)
71;Reading;Can understand complex questions in questionnaires designed to elicit opinions. ;(P)
68;Reading;Can understand complex technical information such as operating instructions, specifications for familiar products and services. ;(C)
70;Reading;Can understand complex, detailed correspondence, with occasional support from a dictionary. ;(Ca)
76;Reading;Can understand correspondence containing idiomatic or non-standard language. ;(Ca)
62;Listening;Can understand detailed instructions well enough to be able to follow them without making mistakes. ;(C)
72;Listening;Can understand detailed medical advice. ;(P)
67;Reading;Can understand differences and similarities between points of view in extended texts. ;(CJa)
40;Listening;Can understand enough to manage simple routine exchanges without undue effort. ;(C)
37;Listening;Can understand enough to respond to direct requests expressed slowly and clearly. ;(Ca)
30;Listening;Can understand excuses if expressed in simple language. ;(P)
29;Reading;Can understand familiar phrases in a simple text. ;(P)
87;Reading;Can understand highly colloquial language in unstructured texts that use complex structures. ;(P)
88;Listening;Can understand in detail discussions on abstract and complex topics among speakers with a variety of  accents and dialects. ;(Ca)
70;Reading;Can understand inferred meaning in formal structured text. ;(P)
45;Reading;Can understand information in advertisements for jobs and services. ;(P)
32;Listening;Can understand information related to people’s daily routines. ;(P)
